qname	taxonomy	db
920-T6~k141_118275	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus coli	ICTV
920-T1~k141_76246	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus coli	ICTV
920-T7~NODE_173_length_97706_cov_1735.583599	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus coli	ICTV
925-T2~NODE_207_length_97076_cov_8.978211	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus intestinihominis	ICTV
925-T2~NODE_207_length_97076_cov_8.978211	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Bearivirinae;Afonbuvirus;;Afonbuvirus faecalis	ICTV
919-T1~k141_10061	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Coarsevirinae;Junduvirus;;Junduvirus communis	ICTV
923-T11~k141_19880	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Steigviridae;Asinivirinae;Kahnovirus;;Kahnovirus oralis	ICTV
919-T10~k141_164882	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Carjivirus;;Carjivirus communis	ICTV
925-T7~k141_345338	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Steigviridae;Asinivirinae;Kahnovirus;;Kahnovirus oralis	ICTV
923-T4~NODE_9_length_95457_cov_8.601979	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Steigviridae;Asinivirinae;Kahnovirus;;Kahnovirus oralis	ICTV
917-T1~k141_27640	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Coarsevirinae;Junduvirus;;Junduvirus communis	ICTV
917-T10~NODE_229_length_95224_cov_11.870483	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Coarsevirinae;Junduvirus;;Junduvirus communis	ICTV
924-T10~k141_122758	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Carjivirus;;Carjivirus hominis	ICTV
923-T11~k141_155093	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
918-T2a~NODE_241_length_92775_cov_151.042051	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
918-T6~k141_159503	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
918-T10~k141_117640	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
918-T12~NODE_211_length_92218_cov_69.505040	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
925-T3~k141_379720	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Endlipuvirus;;Endlipuvirus intestinihominis	ICTV
925-T11~k141_330093	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Endlipuvirus;;Endlipuvirus intestinihominis	ICTV
925-T7~NODE_92_length_91682_cov_22.033047	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Endlipuvirus;;Endlipuvirus intestinihominis	ICTV
919-T1~NODE_139_length_91515_cov_8.018216	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
919-T7~NODE_178_length_91357_cov_18.716928	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
919-T5~k141_334453	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
919-T4~NODE_99_length_91225_cov_27.154174	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
919-T10~NODE_231_length_91178_cov_83.182029	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kingevirus;;Kingevirus communis	ICTV
924-T2~NODE_104_length_90311_cov_301.989530	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Intestiviridae;Crudevirinae;Carjivirus;;Carjivirus hominis	ICTV
919-T12~k141_233604	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Suoliviridae;Uncouvirinae;Besingivirus;;Besingivirus coli	ICTV
923-T11~k141_355713	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kahucivirus;;Kahucivirus intestinalis	ICTV
923-T12~k141_89802	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;Crassvirales;;Crevaviridae;Doltivirinae;Kahucivirus;;Kahucivirus intestinalis	ICTV
924-T11~NODE_418_length_53257_cov_29.981711	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Taranisvirus;;Taranisvirus taranis	ICTV
920-T1~k141_45884	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Toutatisvirus;;Toutatisvirus toutatis	ICTV
924-T9~k141_149523	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Lagaffevirus;;Lagaffevirus lagaffe	ICTV
916-T1~k141_51045	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Eponavirus;;Eponavirus epona	ICTV
923-T5~NODE_397_length_48392_cov_6.097731	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Lagaffevirus;;Lagaffevirus lagaffe	ICTV
916-T3~k141_127282	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
916-T10~NODE_581_length_38419_cov_17.331404	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
922-T5~NODE_359_length_37730_cov_11.855501	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
925-T11~NODE_909_length_37265_cov_10.219672	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
924-T2~NODE_403_length_36994_cov_10.407320	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
919-T5~k141_237374	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
921-T7~NODE_846_length_36014_cov_18.476014	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
922-T10~NODE_232_length_35197_cov_15.754510	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
919-T3~NODE_725_length_34259_cov_100.857531	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
924-T11~k141_49229	Viruses;Duplodnaviria;;Heunggongvirae;;Uroviricota;;Caudoviricetes;;;;;;Mushuvirus;;Mushuvirus mushu	ICTV
917-T11~k141_79684_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;;;	IMG_VR
918-T1~NODE_56_length_184062_cov_28.255474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T7~NODE_88_length_180940_cov_9.067065	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T11~NODE_45_length_180692_cov_8.180561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T5~k141_250718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T2~k141_97666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T11~NODE_277_length_107428_cov_31.424474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T11~k141_130573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T12~k141_69961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T10~k141_117638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2a~k141_102419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2b~k141_68073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T10~NODE_230_length_99039_cov_32.003011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T4~NODE_148_length_97370_cov_7.263207	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;;;	IMG_VR
920-T10~NODE_234_length_87124_cov_16.973676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T6~k141_60663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T9~NODE_176_length_85276_cov_378.868741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T9~k141_195860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T9~k141_63816	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
920-T6~k141_81695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T11~NODE_397_length_64552_cov_18.518908	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T11~k141_177228	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T12~k141_33267	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T3~NODE_275_length_59954_cov_10.828161	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;;;	IMG_VR
925-T2~k141_266946_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T5~NODE_39_length_165092_cov_53.582881_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T6~k141_57720_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T5~k141_148848_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T12~k141_13236_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T4~k141_171890_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T6~k141_103928_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T10~k141_90624_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T9~k141_218508_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T11~NODE_124_length_114712_cov_9.332357_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T4~k141_71346_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2b~NODE_119_length_109602_cov_7.168576_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T6~k141_170536_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;;;	IMG_VR
919-T10~k141_76354_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T11~k141_310708_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T12~NODE_77_length_91761_cov_11.700794_2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T2~k141_284910_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T6~NODE_148_length_87445_cov_25.834787_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T4~NODE_152_length_86206_cov_34.425277_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T5~k141_270345_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T7~k141_204043_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T1~k141_67297_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T5~k141_22461_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T4~NODE_181_length_83112_cov_10.354154_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T1~NODE_175_length_82049_cov_94.344647_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T11~k141_346999_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T4b~k141_102656_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T5~k141_232898_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T3~k141_42257_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T12~k141_339261_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T5~k141_32625_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T9~k141_165838_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T11~k141_11871_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T6~NODE_356_length_72529_cov_40.088528_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T5~k141_114538_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T6~k141_40263_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T9~k141_22484_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T11~k141_48892_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T7~k141_91841_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T11~NODE_599_length_70647_cov_82.113271_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T10~k141_19174_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T12~NODE_276_length_67375_cov_7.162626_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T12~k141_6449_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
925-T10~NODE_45_length_67168_cov_10.053328_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T6~k141_57022_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T6~k141_181617_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T9~k141_155046_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T7~NODE_605_length_66676_cov_32.691494_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T10~k141_71953_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T3~k141_138507_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T5~k141_228870_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T12~NODE_297_length_64461_cov_19.670792_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T7~k141_254674_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T10~NODE_104_length_63439_cov_9.177284_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T10~k141_74235_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T3~k141_91012_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T2~k141_192687_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T9~k141_72492_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T3~NODE_176_length_61776_cov_79.601659_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T11~k141_21502_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
920-T6~k141_51897_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2b~k141_35773_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2a~k141_5594_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T7~k141_148223_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T5~k141_106495_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
920-T6~k141_90116_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T3~k141_151171_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T7~NODE_360_length_59653_cov_6.882009_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T11~k141_111766_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T9~k141_4313_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T11~k141_330675_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T2~NODE_369_length_57039_cov_9.854503_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T7~k141_222130_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T6~k141_132346_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T9~NODE_361_length_56458_cov_60.584827_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
920-T4~k141_89186_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T3~k141_204920_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T10~NODE_539_length_54922_cov_7.595021_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T7~NODE_779_length_54919_cov_16.902869_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T7~NODE_344_length_54532_cov_18.200800_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T4~NODE_227_length_54436_cov_13.351115_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
922-T9~k141_192591_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T1~k141_126293_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T9~k141_161945_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T2~NODE_164_length_54016_cov_17.867830_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T3~NODE_265_length_53781_cov_11.385940_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T9~NODE_495_length_53356_cov_13.471924_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T3~k141_171808_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
924-T4~NODE_406_length_52880_cov_24.381978_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2b~k141_18181_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
919-T2~NODE_415_length_52436_cov_10.932686_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
921-T5~NODE_883_length_51619_cov_210.621596_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
916-T6~k141_110702_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
918-T2a~k141_128647_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
923-T10~NODE_293_length_50025_cov_43.187673_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
917-T10~k141_91821_1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;;;	IMG_VR
